test_name, num_threads, time
sync, 1, 29508400
lock, 1, 32977900
tournament, 2, 141055000
atomic, 2, 48239800
sync, 2, 40136900
lock, 2, 60787300
tournament, 3, 161806300
atomic, 3, 50333700
sync, 3, 53570300
lock, 3, 55813900
tournament, 4, 165319600
atomic, 4, 90573000
sync, 4, 54341400
lock, 4, 52547700
tournament, 5, 309449800
atomic, 5, 56944500
sync, 5, 51601900
lock, 5, 50332300
tournament, 6, 275617900
atomic, 6, 73477400
sync, 6, 51138100
lock, 6, 51776100
tournament, 7, 342727700
atomic, 7, 53391000
sync, 7, 60546100
lock, 7, 50131200
tournament, 8, 367298200
atomic, 8, 84035200
sync, 8, 52932700
lock, 8, 50277100
tournament, 1, 29310000
atomic, 1, 10712300
sync, 1, 17200000
lock, 1, 32608000
tournament, 2, 81645600
atomic, 2, 22049900
sync, 2, 44928300
lock, 2, 61818600
tournament, 3, 163033100
atomic, 3, 42537900
sync, 3, 45390600
lock, 3, 51855900
tournament, 4, 165874600
atomic, 4, 91720900
sync, 4, 53219000
lock, 4, 50848900
tournament, 5, 290732300
atomic, 5, 66184000
sync, 5, 54294400
lock, 5, 52019400
tournament, 6, 316936800
atomic, 6, 54259100
sync, 6, 51282800
lock, 6, 51806100
tournament, 7, 388501300
atomic, 7, 62964100
sync, 7, 53427100
lock, 7, 51437800
tournament, 8, 287696000
atomic, 8, 55715200
sync, 8, 56125000
lock, 8, 50687400
tournament, 1, 30375100
atomic, 1, 10760300
sync, 1, 29519800
lock, 1, 32966900
tournament, 2, 125078900
atomic, 2, 37687700
sync, 2, 43621100
lock, 2, 61963300
tournament, 3, 181732300
atomic, 3, 50793300
sync, 3, 49046600
lock, 3, 52710900
tournament, 4, 187399100
atomic, 4, 67976000
sync, 4, 56921000
lock, 4, 53396500
tournament, 5, 261704300
atomic, 5, 40476100
sync, 5, 52411600
lock, 5, 52636700
tournament, 6, 335974700
atomic, 6, 63248500
sync, 6, 53449100
lock, 6, 52423700
tournament, 7, 407962800
atomic, 7, 47303600
sync, 7, 52252000
lock, 7, 55930100
tournament, 8, 294944100
atomic, 8, 75906700
sync, 8, 51372400
lock, 8, 51427100
tournament, 1, 30673400
atomic, 1, 10850800
sync, 1, 29196900
lock, 1, 32682600
tournament, 2, 124934600
atomic, 2, 45187100
sync, 2, 41213600
lock, 2, 70056700
tournament, 3, 184739200
atomic, 3, 49751200
sync, 3, 46079800
lock, 3, 52821900
tournament, 4, 220376600
atomic, 4, 40423900
sync, 4, 54484800
lock, 4, 53087900
tournament, 5, 328992600
atomic, 5, 33907400
sync, 5, 54695300
lock, 5, 55406000
tournament, 6, 277146600
atomic, 6, 76241600
sync, 6, 52169200
lock, 6, 54494900
tournament, 7, 490152200
atomic, 7, 67246200
sync, 7, 56522800
lock, 7, 55322200
tournament, 8, 488158900
atomic, 8, 84627500
sync, 8, 52821800
lock, 8, 50381000
tournament, 1, 31003400
atomic, 1, 12815200
sync, 1, 30922200
lock, 1, 37661600
tournament, 2, 136845800
atomic, 2, 34915000
sync, 2, 37176100
lock, 2, 62940800
tournament, 3, 194919700
atomic, 3, 37686400
sync, 3, 55748700
lock, 3, 55464200
tournament, 4, 184311300
atomic, 4, 54211600
sync, 4, 51071800
lock, 4, 50552300
tournament, 5, 318042800
atomic, 5, 56641900
sync, 5, 56469200
lock, 5, 53392100
tournament, 6, 439014800
atomic, 6, 78493000
sync, 6, 52676200
lock, 6, 50623900
tournament, 7, 226296600
atomic, 7, 83679000
sync, 7, 52489600
lock, 7, 51493900
tournament, 8, 309737400
atomic, 8, 41995200
sync, 8, 54011600
lock, 8, 54748600
tournament, 1, 50276000
atomic, 1, 12999100
sync, 1, 29420700
lock, 1, 32943200
tournament, 2, 111786000
atomic, 2, 17707600
sync, 2, 40180100
lock, 2, 60882800
tournament, 3, 157508800
atomic, 3, 50340400
sync, 3, 55066800
lock, 3, 55141500
tournament, 4, 227546100
atomic, 4, 74176200
sync, 4, 53209500
lock, 4, 52854100
tournament, 5, 295620000
atomic, 5, 51727400
sync, 5, 55826900
lock, 5, 54239800
tournament, 6, 353322800
atomic, 6, 57680700
sync, 6, 54864300
lock, 6, 53823000
tournament, 7, 311024800
atomic, 7, 72097700
sync, 7, 52910300
lock, 7, 51335900
tournament, 8, 305816300
atomic, 8, 67095300
sync, 8, 50361700
lock, 8, 50626200
tournament, 1, 29888800
atomic, 1, 10785400
sync, 1, 29143200
lock, 1, 32571500
tournament, 2, 92665600
atomic, 2, 43167000
sync, 2, 42043000
lock, 2, 61985800
tournament, 3, 174775900
atomic, 3, 43656000
sync, 3, 47944600
lock, 3, 52162000
tournament, 4, 184387500
atomic, 4, 59077500
sync, 4, 54269100
lock, 4, 50759200
tournament, 5, 254228900
atomic, 5, 69969500
sync, 5, 53368900
lock, 5, 50795900
tournament, 6, 282585800
atomic, 6, 65992000
sync, 6, 52763200
lock, 6, 50763100
tournament, 7, 326883900
atomic, 7, 61255700
sync, 7, 53187700
lock, 7, 50326300
tournament, 8, 451175600
atomic, 8, 83849400
sync, 8, 54832300
lock, 8, 50761100
tournament, 1, 29829200
atomic, 1, 10798900
sync, 1, 17374400
lock, 1, 32887400
tournament, 2, 91999500
atomic, 2, 18021900
sync, 2, 40360100
lock, 2, 58049800
tournament, 3, 176319100
atomic, 3, 52357400
sync, 3, 47909400
lock, 3, 54350200
tournament, 4, 157112900
atomic, 4, 66020900
sync, 4, 54513500
lock, 4, 52247000
tournament, 5, 278190100
atomic, 5, 80055700
sync, 5, 50599300
lock, 5, 50601900
tournament, 6, 384523200
atomic, 6, 74577500
sync, 6, 60187400
lock, 6, 50867200
tournament, 7, 283947400
atomic, 7, 76933000
sync, 7, 59601000
lock, 7, 51171600
tournament, 8, 311921300
atomic, 8, 72766100
sync, 8, 51249300
lock, 8, 52346700
tournament, 1, 31527600
atomic, 1, 10651100
sync, 1, 29351800
lock, 1, 32855800
tournament, 2, 111746600
atomic, 2, 35462300
sync, 2, 36396000
lock, 2, 61319100
